"new.id","eff","Ecosystems","Ecosystem.origin","Ecosystem.type","Ecosystem.type2","resource","consumer","TL","Definition","element","element2"
"8",0.162975083,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.162975083,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.107226722,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.166810054,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.191791026,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.225701972,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.247707636,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.312571585,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.385352859,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.394420606,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.443062146,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.464158883,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.464158883,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.546227722,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.546227722,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.572236766,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.642807312,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.657933225,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.774263683,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.854708813,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.869749003,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.911162756,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.932603347,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.061716891,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.135304777,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.162975083,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.335160265,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.475081016,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"10",0.17,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"10",0.06,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"11",0.011407,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.017931,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.011407,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.011873,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.033309,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.072453,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.087831,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.073385,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.045891,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.153071,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.074317,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.052881,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.09825,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.28725,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.26625,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.18225,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.27325,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.86825,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.43425,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"11",0.42915,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.63975,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.85035,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.11055,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.02415,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.61275,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.84495,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.40215,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.30495,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"11",0.24015,"Artificial aquatic","Artificial","Aquatic","Marine","carnivore","vertebrate ectotherm","II_III","Production","C","Energy"
"12",0.198,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"12",0.129,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"12",0.175,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
